model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
claude-opus-5:off,aime,None,RB,1.0,115,217,0.45622119815668205,0.5091743119266054,0.055299539170506916,0.015551810085496613,0.0003767926163493751
claude-opus-5:off,aime,None,RB,5.0,575,217,0.45622119815668205,0.48623853211009177,0.03225806451612903,0.01891751479970422,0.08815793541979455
gpt-5.6-sol:none,aime,None,CB,10.0,23,218,0.0871559633027523,0.0779816513761468,-0.009174311926605505,0.01591476483989776,0.5643006227360221
gpt-5.6-sol:none,aime,None,CB,30.0,63,218,0.0871559633027523,0.12385321100917432,0.03669724770642202,0.01702173935252532,0.0310911081666001
gpt-5.6-sol:none,aime,None,CB,100.0,203,218,0.0871559633027523,0.11926605504587157,0.03211009174311927,0.016433355078311954,0.05070614036004373
gpt-5.6-sol:none,aime,None,CB,300.0,603,218,0.0871559633027523,0.12385321100917432,0.03669724770642202,0.019346717573702366,0.05785165182491481
gpt-5.6-sol:none,aime,None,CB,1000.0,2004,218,0.0871559633027523,0.15137614678899083,0.06422018348623854,0.022098179664408118,0.003659293515793749
gpt-5.6-sol:none,aime,None,XB,300.0,300,218,0.0871559633027523,0.14678899082568808,0.05963302752293578,0.019627858661291984,0.0023800932927213747
gpt-5.6-sol:none,aime,None,RB,1.0,115,218,0.0871559633027523,0.14220183486238533,0.05504587155963303,0.019145183769915204,0.004037957496947575
gpt-5.6-sol:none,aime,None,RB,5.0,575,218,0.0871559633027523,0.11926605504587157,0.03211009174311927,0.01883111864497636,0.08816437526431375
deepseek/deepseek-v3.2:off,aime,None,CB,10.0,23,218,0.03211009174311927,0.01834862385321101,-0.013761467889908258,0.010238267831702834,0.17890935414245313
deepseek/deepseek-v3.2:off,aime,None,CB,30.0,63,218,0.03211009174311927,0.03211009174311927,0.0,0.011262051564299573,1.0
deepseek/deepseek-v3.2:off,aime,None,CB,100.0,203,218,0.03211009174311927,0.03669724770642202,0.0045871559633027525,0.013789624375386516,0.7393964478022634
deepseek/deepseek-v3.2:off,aime,None,CB,300.0,603,218,0.03211009174311927,0.013761467889908258,-0.01834862385321101,0.011192958571279828,0.10115066833016173
deepseek/deepseek-v3.2:off,aime,None,CB,1000.0,2004,218,0.03211009174311927,0.01834862385321101,-0.013761467889908258,0.010238267831702832,0.1789093541424529
deepseek/deepseek-v3.2:off,aime,None,XB,300.0,300,218,0.03211009174311927,0.027522935779816515,-0.0045871559633027525,0.012160419617291439,0.7060099671896529
deepseek/deepseek-v3.2:off,aime,None,RB,1.0,115,218,0.03211009174311927,0.01834862385321101,-0.013761467889908258,0.010238267831702832,0.1789093541424529
deepseek/deepseek-v3.2:off,aime,None,RB,5.0,575,218,0.03211009174311927,0.01834862385321101,-0.013761467889908258,0.012128481493547677,0.2565259219350646
gpt-6-astra:low,aimepp,AIME,CB,10.0,23,34,0.6470588235294118,0.7647058823529411,0.11764705882352941,0.07020095781645354,0.09376539041366971
gpt-6-astra:low,aimepp,AIME,CB,30.0,63,34,0.6470588235294118,0.8529411764705882,0.20588235294117646,0.07038741487212932,0.00344469363306521
gpt-6-astra:low,aimepp,AIME,CB,100.0,203,34,0.6470588235294118,0.7941176470588235,0.14705882352941177,0.06165213406602944,0.017065207572717345
gpt-6-astra:low,aimepp,AIME,CB,300.0,603,34,0.6470588235294118,0.8823529411764706,0.23529411764705882,0.07384069581892326,0.0014400049605949317
gpt-6-astra:low,aimepp,AIME,CB,1000.0,2004,34,0.6470588235294118,0.8823529411764706,0.23529411764705882,0.07384069581892326,0.0014400049605949317
gpt-6-astra:low,aimepp,AIME,XB,4.0,4,34,0.6470588235294118,0.5588235294117647,-0.08823529411764706,0.06496464222510488,0.17439868245306966
gpt-6-astra:low,aimepp,AIME,XB,16.0,16,34,0.6470588235294118,0.6764705882352942,0.029411764705882353,0.06655910374776682,0.658569216641085
gpt-6-astra:low,aimepp,AIME,XB,64.0,64,34,0.6470588235294118,0.7941176470588235,0.14705882352941177,0.06165213406602945,0.017065207572717345
gpt-6-astra:low,aimepp,AIME,XB,256.0,256,34,0.6470588235294118,0.7647058823529411,0.11764705882352941,0.07020095781645354,0.09376539041366971
gpt-6-astra:low,aimepp,AIME,XB,300.0,300,33,0.6470588235294118,0.8484848484848485,0.18181818181818182,0.08088695645478265,0.024588566448858762
gpt-6-astra:low,aimepp,AIME,XB,1024.0,1024,34,0.6470588235294118,0.8823529411764706,0.23529411764705882,0.07384069581892326,0.0014400049605949317
gpt-6-astra:low,aimepp,AIME,XB,4096.0,4096,34,0.6470588235294118,0.8529411764705882,0.20588235294117646,0.07038741487212932,0.00344469363306521
gpt-6-astra:low,aimepp,AIME,XB,8192.0,8192,34,0.6470588235294118,0.9117647058823529,0.2647058823529412,0.07679896586280788,0.0005673994129977711
gpt-6-astra:low,aimepp,AIME,XB,16384.0,16384,34,0.6470588235294118,0.8823529411764706,0.23529411764705882,0.07384069581892326,0.0014400049605949317
gpt-6-astra:low,aimepp,AIME,RB,1.0,46,34,0.6470588235294118,0.7941176470588235,0.14705882352941177,0.07472293375658887,0.04906174034930788
gpt-6-astra:low,aimepp,AIME,RB,5.0,231,34,0.6470588235294118,0.9117647058823529,0.2647058823529412,0.07679896586280788,0.0005673994129977711
claude-opus-4-5-20251101:off,aimepp,AIME,CB,10.0,23,34,0.20588235294117646,0.20588235294117646,0.0,0.04222003309207491,1.0
claude-opus-4-5-20251101:off,aimepp,AIME,CB,30.0,63,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.05145467031679522,0.5675893718485889
claude-opus-4-5-20251101:off,aimepp,AIME,CB,100.0,203,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.05145467031679522,0.5675893718485889
claude-opus-4-5-20251101:off,aimepp,AIME,CB,300.0,603,34,0.20588235294117646,0.2647058823529412,0.058823529411764705,0.058823529411764705,0.31731050786291415
claude-opus-4-5-20251101:off,aimepp,AIME,CB,1000.0,2004,34,0.20588235294117646,0.29411764705882354,0.08823529411764706,0.04937482703908926,0.07392937672078004
claude-opus-4-5-20251101:off,aimepp,AIME,XB,4.0,4,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.02941176470588235,0.3173105078629139
claude-opus-4-5-20251101:off,aimepp,AIME,XB,16.0,16,34,0.20588235294117646,0.17647058823529413,-0.029411764705882353,0.05145467031679522,0.5675893718485889
claude-opus-4-5-20251101:off,aimepp,AIME,XB,64.0,64,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.02941176470588235,0.3173105078629139
claude-opus-4-5-20251101:off,aimepp,AIME,XB,256.0,256,34,0.20588235294117646,0.2647058823529412,0.058823529411764705,0.0409594484601642,0.1509623197602521
claude-opus-4-5-20251101:off,aimepp,AIME,XB,300.0,300,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.02941176470588235,0.3173105078629139
claude-opus-4-5-20251101:off,aimepp,AIME,XB,1024.0,1024,34,0.20588235294117646,0.29411764705882354,0.08823529411764706,0.06496464222510488,0.17439868245306966
claude-opus-4-5-20251101:off,aimepp,AIME,XB,4096.0,4096,34,0.20588235294117646,0.29411764705882354,0.08823529411764706,0.04937482703908926,0.07392937672078004
claude-opus-4-5-20251101:off,aimepp,AIME,RB,1.0,46,34,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.02941176470588235,0.3173105078629139
claude-opus-4-5-20251101:off,aimepp,AIME,RB,5.0,231,34,0.20588235294117646,0.29411764705882354,0.08823529411764706,0.04937482703908926,0.07392937672078004
claude-opus-5:off,aimepp,AIME,CB,10.0,23,34,0.3235294117647059,0.2647058823529412,-0.058823529411764705,0.0409594484601642,0.1509623197602521
claude-opus-5:off,aimepp,AIME,CB,30.0,63,34,0.3235294117647059,0.3235294117647059,0.0,0.059708143402653215,1.0
claude-opus-5:off,aimepp,AIME,CB,100.0,203,34,0.3235294117647059,0.3235294117647059,0.0,0.059708143402653215,1.0
claude-opus-5:off,aimepp,AIME,CB,300.0,603,34,0.3235294117647059,0.20588235294117646,-0.11764705882352941,0.05608603466150543,0.03593893057402253
claude-opus-5:off,aimepp,AIME,CB,1000.0,2004,33,0.3235294117647059,0.24242424242424243,-0.09090909090909091,0.050819726761358854,0.07363827012030266
claude-opus-5:off,aimepp,AIME,XB,4.0,4,34,0.3235294117647059,0.23529411764705882,-0.08823529411764706,0.04937482703908926,0.07392937672078004
claude-opus-5:off,aimepp,AIME,XB,16.0,16,34,0.3235294117647059,0.29411764705882354,-0.029411764705882353,0.05145467031679522,0.5675893718485889
claude-opus-5:off,aimepp,AIME,XB,64.0,64,34,0.3235294117647059,0.3235294117647059,0.0,0.04222003309207491,1.0
claude-opus-5:off,aimepp,AIME,XB,256.0,256,34,0.3235294117647059,0.3235294117647059,0.0,0.059708143402653215,1.0
claude-opus-5:off,aimepp,AIME,XB,300.0,300,34,0.3235294117647059,0.29411764705882354,-0.029411764705882353,0.05145467031679522,0.5675893718485889
claude-opus-5:off,aimepp,AIME,XB,1024.0,1024,34,0.3235294117647059,0.23529411764705882,-0.08823529411764706,0.06496464222510488,0.17439868245306966
claude-opus-5:off,aimepp,AIME,XB,4096.0,4096,29,0.3235294117647059,0.20689655172413793,-0.10344827586206896,0.05755330761353657,0.07226673626558022
