model_eff,task,depth,arm,n_calls,n_levels,max_dots,acc_k0,acc_maxk,tau_b,p,sig
deepseek/deepseek-chat-v3-0324:default,modchain,3,XB,320,8,700,0.375,0.475,0.04877179831802136,0.31448744279510044,
deepseek/deepseek-chat-v3-0324:default,modchain,3,XC,320,8,700,0.375,0.375,-0.00840722120508864,0.8623470382804732,
deepseek/deepseek-chat-v3-0324:default,modchain,4,XB,320,8,700,0.425,0.35,0.00894345426012909,0.8536633332464897,
deepseek/deepseek-chat-v3-0324:default,modchain,4,XC,320,8,700,0.425,0.35,-0.06625413488689132,0.17181360273264346,
deepseek/deepseek-chat-v3-0324:default,perm,2,XB,320,8,700,0.275,0.175,-0.012791887929089314,0.7919225361510625,
deepseek/deepseek-chat-v3-0324:default,perm,2,XC,320,8,700,0.275,0.175,-0.05026059464988185,0.29994331501230154,
deepseek/deepseek-chat-v3-0324:default,perm,3,XB,320,8,700,0.075,0.175,0.0876285991932802,0.07072827241090988,
deepseek/deepseek-chat-v3-0324:default,perm,3,XC,320,8,700,0.075,0.075,0.01867202838329723,0.7001746994014445,
deepseek/deepseek-chat-v3-0324:default,reach,2,XB,320,8,700,0.675,0.625,0.007644707871564383,0.8747235538397036,
deepseek/deepseek-chat-v3-0324:default,reach,2,XC,319,8,700,0.675,0.625,-0.05626855967287809,0.24660428212648577,
deepseek/deepseek-chat-v3-0324:default,reach,3,XB,320,8,700,0.525,0.5,0.015422731972837422,0.7504299993567543,
deepseek/deepseek-chat-v3-0324:default,reach,3,XC,320,8,700,0.525,0.55,-0.020145970179751786,0.677788611103785,
deepseek/deepseek-chat-v3-0324:default,stack,4,XB,317,8,700,0.575,0.625,0.006148438835405925,0.899570850564667,
deepseek/deepseek-chat-v3-0324:default,stack,4,XC,319,8,700,0.575,0.55,-0.059998306090356876,0.21666802954279407,
deepseek/deepseek-chat-v3-0324:default,stack,6,XB,320,8,700,0.425,0.475,0.002371373312298883,0.960993983434492,
deepseek/deepseek-chat-v3-0324:default,stack,6,XC,320,8,700,0.425,0.4,-0.02885916421463291,0.5517230384116406,
deepseek/deepseek-chat-v3-0324:default,xor,8,XB,320,8,700,0.55,0.575,0.021886734967869415,0.6517131664513347,
deepseek/deepseek-chat-v3-0324:default,xor,8,XC,319,8,700,0.55,0.475,-0.1234705761827975,0.01100920781165115,*
deepseek/deepseek-chat-v3-0324:default,xor,12,XB,317,8,700,0.575,0.55,0.007106825646906247,0.8840188448244293,
deepseek/deepseek-chat-v3-0324:default,xor,12,XC,319,8,700,0.575,0.55,0.037402652160866794,0.44120189501927765,
deepseek/deepseek-v3.2:off,lookup,2,XB,320,8,700,0.325,0.25,-0.04150697129820798,0.39198470768807625,
deepseek/deepseek-v3.2:off,lookup,2,XC,320,8,700,0.325,0.3,-0.005043562772240021,0.9171562727496032,
deepseek/deepseek-v3.2:off,lookup,3,XB,320,8,700,0.2,0.2,-0.02657562700846129,0.5836332683323772,
deepseek/deepseek-v3.2:off,lookup,3,XC,320,8,700,0.2,0.225,0.01596673096272507,0.7419352553493381,
deepseek/deepseek-v3.2:off,modchain,3,XB,320,8,700,0.6,0.525,0.013181567130319531,0.7857361940116986,
deepseek/deepseek-v3.2:off,modchain,3,XC,320,8,700,0.6,0.375,-0.08196254274224092,0.0909584137477935,
deepseek/deepseek-v3.2:off,modchain,4,XB,320,8,700,0.375,0.3,-0.028929101207841926,0.55075942450145,
deepseek/deepseek-v3.2:off,modchain,4,XC,320,8,700,0.375,0.325,-0.026288063097515975,0.5877118777570948,
deepseek/deepseek-v3.2:off,perm,2,XB,320,8,700,0.125,0.15,0.00673328160696643,0.8895571599664858,
deepseek/deepseek-v3.2:off,perm,2,XC,320,8,700,0.125,0.125,0.0,1.0,
deepseek/deepseek-v3.2:off,perm,3,XB,320,8,700,0.125,0.125,-0.02990408693441711,0.5374126597170563,
deepseek/deepseek-v3.2:off,perm,3,XC,320,8,700,0.125,0.175,0.0458682472293863,0.34416445352944525,
google/gemini-2.5-flash:off,lookup,2,XB,320,8,700,0.75,0.85,0.03849296771169544,0.4272746124596246,
google/gemini-2.5-flash:off,lookup,2,XC,320,8,700,0.75,0.875,0.17935071573505565,0.00021657051845775025,***
google/gemini-2.5-flash:off,lookup,3,XB,320,8,700,0.35,0.225,0.009991510822169678,0.8367432365802706,
google/gemini-2.5-flash:off,lookup,3,XC,320,8,700,0.35,0.375,0.011120878586090947,0.8185948159302635,
google/gemini-2.5-flash:off,lookup,4,XB,320,8,700,0.225,0.175,0.0030261376633440125,0.9502364222629962,
google/gemini-2.5-flash:off,lookup,4,XC,320,8,700,0.225,0.225,0.01954562387022674,0.6868736714082583,
google/gemini-2.5-flash:off,modchain,3,XB,320,8,700,0.225,0.45,0.1297788912372257,0.007439348395828438,**
google/gemini-2.5-flash:off,modchain,3,XC,320,8,700,0.225,0.325,0.09176429240246696,0.05842291930747484,
google/gemini-2.5-flash:off,modchain,4,XB,320,8,700,0.275,0.3,0.013135173437318345,0.7864720151276824,
google/gemini-2.5-flash:off,modchain,4,XC,320,8,700,0.275,0.2,-0.05111804182826048,0.29177368579162355,
google/gemini-2.5-flash:off,modchain,6,XB,320,8,700,0.25,0.05,-0.11467015873229823,0.01803431883908867,*
google/gemini-2.5-flash:off,modchain,6,XC,320,8,700,0.25,0.225,0.01865117742382477,0.7004933142090553,
google/gemini-2.5-flash:off,perm,2,XB,1920,8,700,0.1625,0.5458333333333333,0.20716400588150283,1.078421598132894e-25,***
google/gemini-2.5-flash:off,perm,2,XC,1920,8,700,0.1625,0.5666666666666667,0.2625857383355174,2.9268335230521768e-40,***
google/gemini-2.5-flash:off,perm,3,XB,320,8,700,0.35,0.05,-0.14359845355831063,0.00306125947427549,**
google/gemini-2.5-flash:off,perm,3,XC,320,8,700,0.35,0.15,-0.03653888199898359,0.4511112534865874,
google/gemini-2.5-flash:off,perm,4,XB,320,8,700,0.075,0.1,0.019805348166104773,0.6829376079755245,
google/gemini-2.5-flash:off,perm,4,XC,320,8,700,0.075,0.125,0.07699188535494524,0.11232010402301672,
google/gemini-2.5-flash:off,reach,2,XB,320,8,700,0.5,0.575,0.022494865245090964,0.6427012286886675,
google/gemini-2.5-flash:off,reach,2,XC,320,8,700,0.5,0.475,-0.007091822060587449,0.88371694685148,
google/gemini-2.5-flash:off,reach,3,XB,320,8,700,0.45,0.475,0.013023343036631612,0.7882464694412634,
google/gemini-2.5-flash:off,reach,3,XC,320,8,700,0.45,0.475,0.041379484663390725,0.3934406271916586,
google/gemini-3.5-flash:low,lookup,3,XB,319,8,700,0.48717948717948717,0.625,0.09470125125090278,0.05117472383918894,
google/gemini-3.5-flash:low,lookup,3,XC,319,8,700,0.48717948717948717,0.625,0.0539014670886995,0.2670440635814392,
google/gemini-3.5-flash:low,lookup,4,XB,318,8,700,0.25,0.2564102564102564,0.000707630844973544,0.9883927847667764,
google/gemini-3.5-flash:low,lookup,4,XC,320,8,700,0.25,0.25,-0.03099100079352699,0.5227277317940198,
google/gemini-3.5-flash:low,modchain,3,XB,319,8,700,0.65,0.8717948717948718,0.14350173265000904,0.0031279898198984515,**
google/gemini-3.5-flash:low,modchain,3,XC,320,8,700,0.65,0.775,0.11626490538167818,0.016493769733098254,*
google/gemini-3.5-flash:low,modchain,4,XB,320,8,700,0.55,0.65,0.028349550370837487,0.5587695620194012,
google/gemini-3.5-flash:low,modchain,4,XC,320,8,700,0.55,0.475,0.020079754815156413,0.6787883840915658,
google/gemini-3.5-flash:low,perm,2,XB,320,8,700,0.925,0.925,0.0728252704039083,0.13311775721732677,
google/gemini-3.5-flash:low,perm,2,XC,320,8,700,0.925,0.975,0.11115436009017582,0.021882324672352644,*
google/gemini-3.5-flash:low,perm,3,XB,311,8,700,0.025,0.21875,0.1184969935482602,0.01601465670269925,*
google/gemini-3.5-flash:low,perm,3,XC,320,8,700,0.025,0.175,0.08691888939229431,0.07303988768497542,
google/gemini-3.5-flash:low,reach,2,XB,317,8,700,0.6,0.5405405405405406,-0.03899372508037256,0.4234924602403628,
google/gemini-3.5-flash:low,reach,2,XC,320,8,700,0.6,0.575,-0.01194655312342741,0.8053872623467134,
google/gemini-3.5-flash:low,reach,3,XB,319,8,700,0.55,0.5128205128205128,-0.03372373883022057,0.4874238690128333,
google/gemini-3.5-flash:low,reach,3,XC,320,8,700,0.55,0.5,-0.031906335480915,0.5105228036709752,
google/gemini-3.8-flash:low,lookup,3,XB,251,8,700,0.8918918918918919,0.75,0.11517495795140614,0.036636995006265896,*
google/gemini-3.8-flash:low,lookup,3,XC,293,8,700,0.8918918918918919,0.9743589743589743,0.12090525492020884,0.01707106077825755,*
google/gemini-3.8-flash:low,lookup,4,XB,241,8,700,0.45454545454545453,0.5,-0.021234860386519484,0.7060517951677205,
google/gemini-3.8-flash:low,lookup,4,XC,284,8,700,0.45454545454545453,0.5263157894736842,0.04936218442831211,0.33782877244768117,
google/gemini-3.8-flash:low,modchain,3,XB,260,8,700,0.717948717948718,0.8461538461538461,0.13708601913770116,0.011085955118833691,*
google/gemini-3.8-flash:low,modchain,3,XC,308,8,700,0.717948717948718,0.825,0.08981801315625755,0.06919141501900734,
google/gemini-3.8-flash:low,modchain,4,XB,252,8,700,0.5,0.75,0.12917741286439663,0.01866658008867246,*
google/gemini-3.8-flash:low,modchain,4,XC,301,8,700,0.5,0.7948717948717948,0.14946366804037214,0.002798246669429491,**
google/gemini-3.8-flash:low,perm,3,XB,266,8,700,0.9117647058823529,0.875,-0.04545677356392914,0.393377018756625,
google/gemini-3.8-flash:low,perm,3,XC,292,8,700,0.9117647058823529,0.9487179487179487,0.027208285221482668,0.5920323643972183,
google/gemini-3.8-flash:low,perm,4,XB,250,8,700,0.3235294117647059,0.3333333333333333,0.10040055057504742,0.06870030137684215,
google/gemini-3.8-flash:low,perm,4,XC,287,8,700,0.3235294117647059,0.40625,0.1369515556080112,0.007500235529542273,**
google/gemini-3.8-flash:low,reach,2,XB,259,8,700,0.6923076923076923,1.0,0.2609450832146525,1.5263456520797294e-06,***
google/gemini-3.8-flash:low,reach,2,XC,306,8,700,0.6923076923076923,0.972972972972973,0.2582250523386386,1.917532580007652e-07,***
google/gemini-3.8-flash:low,reach,3,XB,235,8,700,0.6,1.0,0.14304447777378843,0.012227283692964767,*
google/gemini-3.8-flash:low,reach,3,XC,300,8,700,0.6,0.8611111111111112,0.15759816710315463,0.0016525652579534962,**
gpt-4o:default,lookup,2,XB,320,8,700,0.45,0.625,0.10055215880021537,0.03810266368242894,*
gpt-4o:default,lookup,2,XC,320,8,700,0.45,0.625,0.083096253668486,0.08657560215640153,
gpt-4o:default,lookup,3,XB,320,8,700,0.225,0.2,-0.0013696163045144323,0.9774656030289609,
gpt-4o:default,lookup,3,XC,320,8,700,0.225,0.25,0.024954170447254356,0.6068010395126762,
gpt-4o:default,modchain,2,XB,320,8,700,0.675,0.7,0.019274092758003812,0.6909977597713379,
gpt-4o:default,modchain,2,XC,320,8,700,0.675,0.725,0.06625413488689132,0.17181360273264346,
gpt-4o:default,modchain,3,XB,320,8,700,0.325,0.325,-0.0190602897798037,0.6942515302172502,
gpt-4o:default,modchain,3,XC,320,8,700,0.325,0.325,-0.02731403591914625,0.5732210502121802,
gpt-4o:default,modchain,4,XB,320,8,700,0.25,0.3,-0.016366341767699428,0.7357150891526574,
gpt-4o:default,modchain,4,XC,320,8,700,0.25,0.3,0.0,1.0,
gpt-4o:default,perm,2,XB,320,8,700,0.125,0.15,0.010289430911429658,0.8319469335789733,
gpt-4o:default,perm,2,XC,320,8,700,0.125,0.1,0.008199895225688142,0.8657089789251439,
gpt-4o:default,perm,3,XB,320,8,700,0.2,0.2,0.03571428571428571,0.4613914651532227,
gpt-4o:default,perm,3,XC,320,8,700,0.2,0.15,-0.03139610883575549,0.5173076585171765,
gpt-4o:default,reach,2,XB,320,8,700,0.7,0.6,-0.06686118436643387,0.16791971032602349,
gpt-4o:default,reach,2,XC,320,8,700,0.7,0.65,0.011266312756078275,0.8162645864816489,
gpt-4o:default,reach,3,XB,320,8,700,0.525,0.575,0.028427400288926433,0.5576902935284334,
gpt-4o:default,reach,3,XC,320,8,700,0.525,0.6,0.034612514746629554,0.4753291883341123,
gpt-4o:default,stack,4,XB,320,8,700,0.6,0.5,-0.02732084758074697,0.5731254112407699,
gpt-4o:default,stack,4,XC,320,8,700,0.6,0.6,0.0036212768146569817,0.9404662937539139,
gpt-4o:default,stack,6,XB,320,8,700,0.475,0.325,-0.08417256229267932,0.08257405740107815,
gpt-4o:default,stack,6,XC,320,8,700,0.475,0.45,0.01904761904761905,0.6944445380369604,
gpt-4o:default,xor,8,XB,320,8,700,0.525,0.6,0.07086086444288996,0.14390380606464917,
gpt-4o:default,xor,8,XC,320,8,700,0.525,0.625,-0.02384930583193492,0.6228191601558422,
gpt-4o:default,xor,12,XB,320,8,700,0.4,0.475,0.04017128074456459,0.4074004887657232,
gpt-4o:default,xor,12,XC,320,8,700,0.4,0.45,0.024816038707378335,0.6087935588182024,
gpt-5.6-sol:none,lookup,3,XB,320,8,700,0.775,0.9,0.2153289925336373,8.95994950371761e-06,***
gpt-5.6-sol:none,lookup,3,XC,320,8,700,0.775,0.95,0.2917282728615741,1.7823902375083816e-09,***
gpt-5.6-sol:none,lookup,4,XB,320,8,700,0.05,0.3,0.12942127110251783,0.007604711332239178,**
gpt-5.6-sol:none,lookup,4,XC,320,8,700,0.05,0.275,0.18877549512721736,9.891731113642769e-05,***
gpt-5.6-sol:none,modchain,4,XB,320,8,700,0.775,0.8,0.031239736383941286,0.5193963636059995,
gpt-5.6-sol:none,modchain,4,XC,320,8,700,0.775,0.75,0.019799623471312144,0.6830242720728178,
gpt-5.6-sol:none,modchain,6,XB,320,8,700,0.375,0.375,-0.008498325387868195,0.8608705025371968,
gpt-5.6-sol:none,modchain,6,XC,320,8,700,0.375,0.425,0.06590783565159765,0.1740649846381742,
gpt-5.6-sol:none,perm,3,XB,560,12,1130,0.225,0.45,0.18434823180374843,3.197813981580386e-07,***
gpt-5.6-sol:none,perm,3,XC,560,12,1130,0.225,0.625,0.32655276219642243,1.3746469107906664e-19,***
gpt-5.6-sol:none,perm,4,XB,560,13,1450,0.2,0.125,-0.034461679594106655,0.33715149140612977,
gpt-5.6-sol:none,perm,4,XC,560,13,1450,0.2,0.075,-0.04825199732405153,0.17898413534689794,
gpt-5.6-sol:none,perm,6,XB,560,13,2090,0.1625,0.175,0.03706796101039992,0.301885936417561,
gpt-5.6-sol:none,perm,6,XC,560,13,2090,0.1625,0.2,0.01748043286665463,0.6263604546511631,
gpt-5.6-sol:none,perm,8,XB,560,13,2730,0.0875,0.125,0.014997132822280372,0.6761720881710822,
gpt-5.6-sol:none,perm,8,XC,560,13,2730,0.0875,0.075,-0.003984095364447979,0.9116457302286698,
gpt-5.6-sol:none,reach,3,XB,320,8,700,0.775,0.85,0.1208122748858435,0.012717440119790355,*
gpt-5.6-sol:none,reach,3,XC,320,8,700,0.775,0.775,0.07471112755809801,0.12336224689440795,
gpt-5.6-sol:none,reach,4,XB,320,8,700,0.6,0.7,0.08568451364455017,0.0772074499761758,
gpt-5.6-sol:none,reach,4,XC,320,8,700,0.6,0.675,0.056600415406647245,0.24308723898157636,
gpt-5.6-sol:none,stack,8,XB,320,8,700,0.725,0.9,0.12030098044213389,0.013099943966239258,*
gpt-5.6-sol:none,stack,8,XC,320,8,700,0.725,0.85,0.09908517230976709,0.04100355518883224,*
gpt-5.6-sol:none,stack,12,XB,320,8,700,0.525,0.625,0.046954157520450054,0.3328624709644342,
gpt-5.6-sol:none,stack,12,XC,320,8,700,0.525,0.6,0.05345383222320059,0.27028301162757684,
gpt-5.6-sol:none,xor,24,XB,320,8,700,0.825,0.925,0.04330842919897396,0.37176282156402696,
gpt-5.6-sol:none,xor,24,XC,320,8,700,0.825,0.825,0.05021631846713212,0.30036927362965626,
gpt-5.6-sol:none,xor,32,XB,320,8,700,0.625,0.725,0.10539996121951348,0.02972558309994768,*
gpt-5.6-sol:none,xor,32,XC,320,8,700,0.625,0.525,0.014395817758699803,0.7665476306768735,
gpt-6-astra:low,lookup,4,XB,320,8,700,0.925,1.0,0.1513068831672006,0.0018054778612417517,**
gpt-6-astra:low,lookup,4,XC,320,8,700,0.925,1.0,0.11787819441448806,0.015054138128599227,*
gpt-6-astra:low,lookup,6,XB,320,8,700,0.75,1.0,0.2738055069414721,1.6340642100233315e-08,***
gpt-6-astra:low,lookup,6,XC,320,8,700,0.75,1.0,0.2906440234254816,2.045785593432439e-09,***
gpt-6-astra:low,lookup,8,XB,320,8,700,0.6,1.0,0.3596347120136972,1.198333080426977e-13,***
gpt-6-astra:low,lookup,8,XC,320,8,700,0.6,1.0,0.40507645108782825,6.591159622644364e-17,***
gpt-6-astra:low,modchain,8,XB,320,8,700,0.875,1.0,0.20421420662842996,2.5352967076796926e-05,***
gpt-6-astra:low,modchain,8,XC,320,8,700,0.875,1.0,0.18742270407356773,0.00011093775642306977,***
gpt-6-astra:low,modchain,12,XB,320,8,700,0.6,0.975,0.336624608773843,3.854528656732507e-12,***
gpt-6-astra:low,modchain,12,XC,320,8,700,0.6,0.925,0.31094998869654794,1.427662874926039e-10,***
gpt-6-astra:low,perm,3,XB,400,9,140,1.0,1.0,0.02264167064258631,0.6004018480969686,
gpt-6-astra:low,perm,3,XC,400,9,140,1.0,1.0,0.03773611773764385,0.3826424367230894,
gpt-6-astra:low,perm,4,XB,400,9,140,0.975,1.0,0.06821385700609556,0.11453099433666641,
gpt-6-astra:low,perm,4,XC,400,9,140,0.975,1.0,0.08480669144409478,0.0497588122272462,*
gpt-6-astra:low,perm,6,XB,560,13,2090,0.575,1.0,0.3878238400653604,3.3874645691096374e-27,***
gpt-6-astra:low,perm,6,XC,560,13,2090,0.575,1.0,0.37618772594066757,1.0973686913503766e-25,***
gpt-6-astra:low,perm,8,XB,560,13,2730,0.0375,0.9,0.5462542257484688,2.8560289826540323e-52,***
gpt-6-astra:low,perm,8,XC,560,13,2730,0.0375,0.7,0.5048184167172748,6.694370315137335e-45,***
gpt-6-astra:low,perm,12,XB,200,5,4010,0.15,0.1,-0.04956207137705683,0.4344005494222942,
gpt-6-astra:low,perm,12,XC,200,5,4010,0.15,0.15,0.0,1.0,
gpt-6-astra:low,reach,4,XB,320,8,700,0.9,1.0,0.1884606435888122,0.00010159988545987685,***
gpt-6-astra:low,reach,4,XC,320,8,700,0.9,1.0,0.16292261599251137,0.0007792761572745033,***
gpt-6-astra:low,reach,6,XB,320,8,700,0.675,1.0,0.3102549019445775,1.5683223681233098e-10,***
gpt-6-astra:low,reach,6,XC,320,8,700,0.675,1.0,0.3303593558190257,9.54493903222727e-12,***
gpt-6-astra:low,reach,8,XB,320,8,700,0.625,1.0,0.3300775293879782,9.938484097482509e-12,***
gpt-6-astra:low,reach,8,XC,320,8,700,0.625,1.0,0.3440106058172124,1.295940154313979e-12,***
gpt-6-astra:low,stack,24,XB,320,8,700,0.95,1.0,0.10900930222495701,0.024565641787433028,*
gpt-6-astra:low,stack,24,XC,320,8,700,0.95,1.0,0.10048635564256075,0.038228943922631084,*
gpt-6-astra:low,stack,32,XB,320,8,700,0.725,0.85,0.11013729394704876,0.02312103781068979,*
gpt-6-astra:low,stack,32,XC,320,8,700,0.725,0.85,0.08253102718210942,0.08873890956590107,
gpt-6-astra:low,xor,48,XB,320,8,700,0.925,0.85,-0.1128611062248402,0.019933164291943865,*
gpt-6-astra:low,xor,48,XC,320,8,700,0.925,0.925,0.022490724488828127,0.6427624154054641,
gpt-6-astra:low,xor,64,XB,320,8,700,0.625,0.7,0.018866805135549083,0.6972009521064082,
gpt-6-astra:low,xor,64,XC,320,8,700,0.625,0.675,-0.007732369676646774,0.8732990770067481,
meta-llama/llama-3.3-70b-instruct:default,lookup,2,XB,318,8,700,0.3,0.325,0.0352607084677641,0.468503678429405,
meta-llama/llama-3.3-70b-instruct:default,lookup,2,XC,319,8,700,0.3,0.375,0.053850889887200014,0.2674931506663789,
meta-llama/llama-3.3-70b-instruct:default,lookup,3,XB,320,8,700,0.45,0.35,-0.029730058149296787,0.5397830091337779,
meta-llama/llama-3.3-70b-instruct:default,lookup,3,XC,320,8,700,0.45,0.275,-0.040348502177920166,0.4053345450675713,
meta-llama/llama-3.3-70b-instruct:default,modchain,2,XB,319,8,700,0.475,0.325,-0.10825561108611884,0.025806444360326083,*
meta-llama/llama-3.3-70b-instruct:default,modchain,2,XC,317,8,700,0.475,0.2631578947368421,-0.10291012703289726,0.03465696729200837,*
meta-llama/llama-3.3-70b-instruct:default,modchain,3,XB,319,8,700,0.125,0.15384615384615385,0.00020269355578865242,0.9966698772411204,
meta-llama/llama-3.3-70b-instruct:default,modchain,3,XC,320,8,700,0.125,0.2,0.027235238970096113,0.5743279467441423,
meta-llama/llama-3.3-70b-instruct:default,modchain,4,XB,320,8,700,0.175,0.2,0.0,1.0,
meta-llama/llama-3.3-70b-instruct:default,modchain,4,XC,320,8,700,0.175,0.2,0.03464794643376185,0.47487740141532897,
meta-llama/llama-3.3-70b-instruct:default,perm,2,XB,320,8,700,0.1,0.125,0.03543416934461505,0.4649132196855287,
meta-llama/llama-3.3-70b-instruct:default,perm,2,XC,320,8,700,0.1,0.05,-0.014400366020812008,0.7664760157471947,
meta-llama/llama-3.3-70b-instruct:default,perm,3,XB,320,8,700,0.15,0.2,0.009460945407607457,0.8452998994509706,
meta-llama/llama-3.3-70b-instruct:default,perm,3,XC,320,8,700,0.15,0.175,0.003429810303809886,0.9436086059393127,
meta-llama/llama-3.3-70b-instruct:default,reach,2,XB,317,8,700,0.6,0.575,0.0014895278147754956,0.97560911706555,
meta-llama/llama-3.3-70b-instruct:default,reach,2,XC,319,8,700,0.6,0.55,-0.025615889410106868,0.5978729975575504,
meta-llama/llama-3.3-70b-instruct:default,reach,3,XB,317,8,700,0.55,0.575,-0.014505014844101043,0.7659064190991025,
meta-llama/llama-3.3-70b-instruct:default,reach,3,XC,318,8,700,0.55,0.5,-0.03128606695596433,0.5200929162043025,
meta-llama/llama-3.3-70b-instruct:default,stack,4,XB,319,8,700,0.55,0.575,0.048076197382041164,0.3222003962035125,
meta-llama/llama-3.3-70b-instruct:default,stack,4,XC,320,8,700,0.55,0.475,-0.013050003977016283,0.7878233302941569,
meta-llama/llama-3.3-70b-instruct:default,stack,6,XB,318,8,700,0.358974358974359,0.275,-0.026000761869415724,0.5929659356180694,
meta-llama/llama-3.3-70b-instruct:default,stack,6,XC,318,8,700,0.358974358974359,0.325,0.0011969740553973672,0.9803674140215872,
meta-llama/llama-3.3-70b-instruct:default,xor,4,XB,320,8,700,0.7,0.7,-0.020544244567716485,0.6717871610477069,
meta-llama/llama-3.3-70b-instruct:default,xor,4,XC,319,8,700,0.7,0.5641025641025641,-0.07337206863229866,0.13083472587411732,
meta-llama/llama-3.3-70b-instruct:default,xor,6,XB,319,8,700,0.65,0.625,-0.0013753258726462302,0.9774072483613441,
meta-llama/llama-3.3-70b-instruct:default,xor,6,XC,320,8,700,0.65,0.625,-0.017078251276599333,0.724676869489673,
moonshotai/kimi-k2.6:off,lookup,2,XB,320,8,700,0.6,0.425,-0.0023630165143861525,0.9611313329467212,
moonshotai/kimi-k2.6:off,lookup,2,XC,320,8,700,0.6,0.5,0.0035635888148800397,0.9414129629995658,
moonshotai/kimi-k2.6:off,lookup,3,XB,320,8,700,0.3,0.375,0.03174292167678637,0.5126907602619233,
moonshotai/kimi-k2.6:off,lookup,3,XC,320,8,700,0.3,0.275,-0.03940552031195503,0.4163991854567137,
moonshotai/kimi-k2.6:off,modchain,3,XB,320,8,700,0.425,0.45,0.014364594114316481,0.767039318225593,
moonshotai/kimi-k2.6:off,modchain,3,XC,320,8,700,0.425,0.525,0.05327731242258386,0.2718681521553111,
moonshotai/kimi-k2.6:off,modchain,4,XB,320,8,700,0.325,0.3,-0.02731403591914625,0.5732210502121802,
moonshotai/kimi-k2.6:off,modchain,4,XC,320,8,700,0.325,0.25,-0.05493836188365013,0.25720274368953633,
moonshotai/kimi-k2.6:off,perm,2,XB,320,8,700,0.225,0.275,0.025714285714285714,0.5958890927880148,
moonshotai/kimi-k2.6:off,perm,2,XC,320,8,700,0.225,0.15,-0.05144434027684821,0.2887044143526615,
moonshotai/kimi-k2.6:off,perm,3,XB,320,8,700,0.075,0.075,0.005540489794545087,0.9090278007052968,
moonshotai/kimi-k2.6:off,perm,3,XC,320,8,700,0.075,0.275,0.10940952129386956,0.02404437693605591,*
qwen/qwen3.5-397b-a17b:off,lookup,2,XB,320,8,700,0.2,0.075,-0.09794042137487836,0.043395301159804944,*
qwen/qwen3.5-397b-a17b:off,lookup,2,XC,320,8,700,0.2,0.1,-0.0017315971885217972,0.9715121719320915,
qwen/qwen3.5-397b-a17b:off,lookup,3,XB,320,8,700,0.225,0.2,-0.012791887929089314,0.7919225361510625,
qwen/qwen3.5-397b-a17b:off,lookup,3,XC,320,8,700,0.225,0.175,-0.031113694026347657,0.5210831049283509,
