task,model_eff,depth,n,acc,chance,compliant,reason_tok,incomplete
reach,gpt-5.6-sol:low,3,40,0.8,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,4,40,0.625,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,6,40,0.425,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,8,40,0.525,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,12,40,0.475,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:low,16,40,0.5,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,1,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,2,40,0.9,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,3,40,0.775,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,4,40,0.6,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,6,40,0.325,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,8,40,0.525,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,12,40,0.65,0.5,1.0,0.0,0.0
reach,gpt-5.6-sol:none,16,40,0.475,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,1,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,2,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,3,40,1.0,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,4,40,0.875,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,6,40,0.75,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,8,40,0.6,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,12,40,0.525,0.5,1.0,0.0,0.0
reach,gpt-6-astra:low,16,40,0.5,0.5,1.0,0.0,0.0
stack,gpt-5.5:none,1,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,2,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,3,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,4,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,6,40,0.725,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,8,40,0.65,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,12,40,0.4,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,16,40,0.575,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,24,40,0.375,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,32,40,0.225,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,48,40,0.15,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.5:none,64,40,0.225,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,1,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,2,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,3,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,4,40,0.975,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,6,40,0.875,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,8,40,0.75,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,12,40,0.575,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:low,16,40,0.4,0.1111111111111111,0.975,0.925,0.025
stack,gpt-5.6-sol:low,24,40,0.3,0.1111111111111111,0.85,5.55,0.15
stack,gpt-5.6-sol:low,32,40,0.225,0.1111111111111111,0.6,14.8,0.4
stack,gpt-5.6-sol:low,48,40,0.05,0.1111111111111111,0.1,33.3,0.9
stack,gpt-5.6-sol:low,64,40,0.0,0.1111111111111111,0.025,36.075,0.975
stack,gpt-5.6-sol:none,1,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,2,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,3,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,4,40,0.975,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,6,40,0.8,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,8,40,0.775,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,12,40,0.55,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,16,40,0.45,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,24,40,0.35,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,32,40,0.35,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,48,40,0.275,0.1111111111111111,1.0,0.0,0.0
stack,gpt-5.6-sol:none,64,40,0.35,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,1,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,2,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,3,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,4,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,6,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,8,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,12,40,1.0,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,16,40,0.95,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,24,40,0.925,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,32,40,0.675,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,48,40,0.575,0.1111111111111111,1.0,0.0,0.0
stack,gpt-6-astra:low,64,40,0.4,0.1111111111111111,1.0,0.0,0.0
xor,gpt-5.5:none,1,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,2,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,3,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,4,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,6,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,8,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,12,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,16,40,0.95,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,24,40,0.875,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,32,40,0.45,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,48,40,0.5,0.5,1.0,0.0,0.0
xor,gpt-5.5:none,64,40,0.475,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,1,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,2,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,3,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,4,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,6,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,8,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,12,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,16,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,24,40,0.9,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,32,40,0.525,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,48,40,0.525,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:low,64,40,0.525,0.5,0.975,0.925,0.025
xor,gpt-5.6-sol:none,1,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,2,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,3,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,4,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,6,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,8,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,12,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,16,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,24,40,0.925,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,32,40,0.675,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,48,40,0.5,0.5,1.0,0.0,0.0
xor,gpt-5.6-sol:none,64,40,0.5,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,1,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,2,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,3,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,4,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,6,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,8,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,12,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,16,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,24,40,1.0,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,32,40,0.95,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,48,40,0.95,0.5,1.0,0.0,0.0
xor,gpt-6-astra:low,64,40,0.625,0.5,1.0,0.0,0.0
