           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
      gpt-4o:default    gpqa   C    1              0 100 0.44     0.415  0.025    0.061   0.99       0.70                     0
      gpt-4o:default    gpqa   C    3              0 100 0.42     0.415  0.005    0.060   1.00       0.72                     0
    gpt-5.6-sol:none    gpqa  XB   20             20 100 0.58     0.585 -0.005    0.060   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  XB  140            140 100 0.58     0.585 -0.005    0.060   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  XB  700            700 100 0.66     0.585  0.075    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  XC   20             20 100 0.63     0.585  0.045    0.060   1.00       0.96                     0
    gpt-5.6-sol:none    gpqa  XC  140            140 100 0.63     0.585  0.045    0.060   1.00       0.99                     0
    gpt-5.6-sol:none    gpqa  XC  700            700 100 0.67     0.585  0.085    0.059   1.00       0.97                     0
    gpt-5.6-sol:none    gpqa  CB   10             28 100 0.62     0.585  0.035    0.060   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CB   50            148 100 0.65     0.585  0.065    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CB  100            298 100 0.66     0.585  0.075    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CB  500           1498 100 0.64     0.585  0.055    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CB 1000           2999 100 0.71     0.585  0.125    0.057   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CC   10             28 100 0.60     0.585  0.015    0.060   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  CC  100            298 100 0.66     0.585  0.075    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  RB    1            206 100 0.68     0.585  0.095    0.058   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa  RB    3            621 100 0.65     0.585  0.065    0.059   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa   C    1              0 100 0.63     0.585  0.045    0.060   1.00       1.00                     0
    gpt-5.6-sol:none    gpqa   C    3              0 100 0.67     0.585  0.085    0.059   1.00       1.00                     0
claude-fable-5-1:low    gpqa  XB   20             20 100 0.78     0.815 -0.035    0.050   0.96       0.96                     4
claude-fable-5-1:low    gpqa  XB  140            140 100 0.82     0.815  0.005    0.047   0.97       0.97                     4
claude-fable-5-1:low    gpqa  XB  700            700 100 0.80     0.815 -0.015    0.049   0.96       0.96                     4
claude-fable-5-1:low    gpqa  XC   20             20 100 0.80     0.815 -0.015    0.049   0.97       0.97                     6
claude-fable-5-1:low    gpqa  XC  140            140 100 0.83     0.815  0.015    0.047   0.96       0.96                    18
claude-fable-5-1:low    gpqa  XC  700            700 100 0.79     0.815 -0.025    0.049   0.96       0.96                    74
claude-fable-5-1:low    gpqa  CB   10             28 100 0.76     0.815 -0.055    0.051   0.96       0.96                     4
claude-fable-5-1:low    gpqa  CB   50            148 100 0.80     0.815 -0.015    0.049   0.96       0.96                     4
claude-fable-5-1:low    gpqa  CB  100            298 100 0.79     0.815 -0.025    0.049   0.95       0.94                    13
claude-fable-5-1:low    gpqa  CB  500           1498 100 0.83     0.815  0.015    0.047   0.96       0.96                     4
