model_eff,task,arm,k,filler_tokens,n,acc,baseline,gain,gain_se,parse,compliant,max_reasoning_tokens
gpt-4o:default,gpqa,CB,100,298,100,0.35,0.415,-0.065,0.05906669958614583,1.0,1.0,0
gpt-4o:default,gpqa,CB,500,1498,100,0.35,0.415,-0.065,0.05906669958614583,1.0,1.0,0
gpt-4o:default,gpqa,CB,1000,2999,100,0.37,0.415,-0.044999999999999984,0.05953885286096802,1.0,1.0,0
gpt-4o:default,gpqa,CC,10,28,100,0.38,0.415,-0.034999999999999976,0.05974843094174106,1.0,1.0,0
gpt-4o:default,gpqa,CC,100,298,100,0.33,0.415,-0.08499999999999996,0.058522431596781756,1.0,1.0,0
gpt-4o:default,gpqa,RB,1,206,100,0.4,0.415,-0.014999999999999958,0.06011551380467441,1.0,1.0,0
gpt-4o:default,gpqa,RB,3,621,100,0.39,0.415,-0.024999999999999967,0.05994059559263654,1.0,1.0,0
gpt-4o:default,gpqa,C,1,206,100,0.44,0.415,0.025000000000000022,0.06064548622939716,0.99,0.7,0
gpt-4o:default,gpqa,C,3,621,100,0.42,0.415,0.0050000000000000044,0.06041419535175487,1.0,0.72,0
gpt-5.6-sol:none,gpqa,XB,20,20,100,0.58,0.585,-0.0050000000000000044,0.06041419535175487,1.0,1.0,0
gpt-5.6-sol:none,gpqa,XB,140,140,100,0.58,0.585,-0.0050000000000000044,0.06041419535175487,1.0,1.0,0
gpt-5.6-sol:none,gpqa,XB,700,700,100,0.66,0.585,0.07500000000000007,0.05880369886325179,1.0,1.0,0
gpt-5.6-sol:none,gpqa,XC,20,20,100,0.63,0.585,0.04500000000000004,0.05953885286096802,1.0,0.96,0
gpt-5.6-sol:none,gpqa,XC,140,140,100,0.63,0.585,0.04500000000000004,0.05953885286096802,1.0,0.99,0
gpt-5.6-sol:none,gpqa,XC,700,700,100,0.67,0.585,0.08500000000000008,0.058522431596781756,1.0,0.97,0
gpt-5.6-sol:none,gpqa,CB,10,28,100,0.62,0.585,0.03500000000000003,0.05974843094174106,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CB,50,148,100,0.65,0.585,0.06500000000000006,0.05906669958614583,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CB,100,298,100,0.66,0.585,0.07500000000000007,0.05880369886325179,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CB,500,1498,100,0.64,0.585,0.05500000000000005,0.059311676759302635,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CB,1000,2999,100,0.71,0.585,0.125,0.0572090464874219,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CC,10,28,100,0.6,0.585,0.015000000000000013,0.06011551380467441,1.0,1.0,0
gpt-5.6-sol:none,gpqa,CC,100,298,100,0.66,0.585,0.07500000000000007,0.05880369886325179,1.0,1.0,0
gpt-5.6-sol:none,gpqa,RB,1,206,100,0.68,0.585,0.09500000000000008,0.05822263305622651,1.0,1.0,0
gpt-5.6-sol:none,gpqa,RB,3,621,100,0.65,0.585,0.06500000000000006,0.05906669958614583,1.0,1.0,0
gpt-5.6-sol:none,gpqa,C,1,206,100,0.63,0.585,0.04500000000000004,0.05953885286096802,1.0,1.0,0
gpt-5.6-sol:none,gpqa,C,3,621,100,0.67,0.585,0.08500000000000008,0.058522431596781756,1.0,1.0,0
claude-fable-5-1:low,gpqa,XB,20,20,100,0.78,0.815,-0.03499999999999992,0.04969783697506361,0.96,0.96,4
claude-fable-5-1:low,gpqa,XB,140,140,100,0.82,0.815,0.0050000000000000044,0.0472215522828295,0.97,0.97,4
claude-fable-5-1:low,gpqa,XB,700,700,100,0.8,0.815,-0.014999999999999902,0.04851674968503146,0.96,0.96,4
claude-fable-5-1:low,gpqa,XC,20,20,100,0.8,0.815,-0.014999999999999902,0.04851674968503146,0.97,0.97,6
claude-fable-5-1:low,gpqa,XC,140,140,100,0.83,0.815,0.015000000000000013,0.04652821724502241,0.96,0.96,18
claude-fable-5-1:low,gpqa,XC,700,700,100,0.79,0.815,-0.02499999999999991,0.04912102401212744,0.96,0.96,74
claude-fable-5-1:low,gpqa,CB,10,28,100,0.76,0.815,-0.05499999999999994,0.05077277813947155,0.96,0.96,4
claude-fable-5-1:low,gpqa,CB,50,148,100,0.8,0.815,-0.014999999999999902,0.04851674968503146,0.96,0.96,4
claude-fable-5-1:low,gpqa,CB,100,298,100,0.79,0.815,-0.02499999999999991,0.04912102401212744,0.95,0.94,13
claude-fable-5-1:low,gpqa,CB,500,1498,100,0.83,0.815,0.015000000000000013,0.04652821724502241,0.96,0.96,4
claude-fable-5-1:low,gpqa,CB,1000,2999,100,0.81,0.815,-0.004999999999999893,0.04788397435468363,0.95,0.95,7
claude-fable-5-1:low,gpqa,CC,10,28,100,0.8,0.815,-0.014999999999999902,0.04851674968503146,0.96,0.96,4
claude-fable-5-1:low,gpqa,CC,100,298,100,0.81,0.815,-0.004999999999999893,0.04788397435468363,0.96,0.96,4
claude-fable-5-1:low,gpqa,RB,1,206,100,0.82,0.815,0.0050000000000000044,0.0472215522828295,0.97,0.97,4
claude-fable-5-1:low,gpqa,RB,3,621,100,0.81,0.815,-0.004999999999999893,0.04788397435468363,0.96,0.96,4
gpt-6-astra:low,gpqa,XB,20,20,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,1.0,0
gpt-6-astra:low,gpqa,XB,140,140,100,0.87,0.855,0.015000000000000013,0.04184345827008088,1.0,1.0,0
gpt-6-astra:low,gpqa,XB,700,700,100,0.94,0.855,0.08499999999999996,0.03440748465087212,1.0,1.0,0
gpt-6-astra:low,gpqa,XC,20,20,100,0.86,0.855,0.0050000000000000044,0.04270684956772157,1.0,1.0,0
gpt-6-astra:low,gpqa,XC,140,140,100,0.9,0.855,0.04500000000000004,0.03898557425510108,1.0,1.0,0
gpt-6-astra:low,gpqa,XC,700,700,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,1.0,0
gpt-6-astra:low,gpqa,CB,10,28,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,1.0,0
gpt-6-astra:low,gpqa,CB,50,148,100,0.91,0.855,0.05500000000000005,0.03793250584920537,1.0,1.0,0
gpt-6-astra:low,gpqa,CB,100,298,100,0.91,0.855,0.05500000000000005,0.03793250584920537,1.0,1.0,0
gpt-6-astra:low,gpqa,CB,500,1498,100,0.94,0.855,0.08499999999999996,0.03440748465087212,1.0,1.0,0
gpt-6-astra:low,gpqa,CB,1000,2999,100,0.95,0.855,0.09499999999999997,0.03308889541825173,1.0,1.0,0
gpt-6-astra:low,gpqa,CC,10,28,100,0.87,0.855,0.015000000000000013,0.04184345827008088,1.0,1.0,0
gpt-6-astra:low,gpqa,CC,100,298,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,1.0,0
gpt-6-astra:low,gpqa,RB,1,206,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,1.0,0
gpt-6-astra:low,gpqa,RB,3,621,100,0.93,0.855,0.07500000000000007,0.03564933379461669,1.0,1.0,0
gpt-6-astra:low,gpqa,C,1,206,100,0.89,0.855,0.03500000000000003,0.03998593502720676,1.0,0.99,0
gpt-6-astra:low,gpqa,C,3,621,100,0.88,0.855,0.025000000000000022,0.04093745229004854,1.0,1.0,0
gpt-4o:default,mmlupro,XB,20,20,100,0.37,0.32,0.04999999999999999,0.05847221562417487,1.0,1.0,0
gpt-4o:default,mmlupro,XB,140,140,100,0.37,0.32,0.04999999999999999,0.05847221562417487,1.0,1.0,0
gpt-4o:default,mmlupro,XB,700,700,100,0.35,0.32,0.02999999999999997,0.05799137866959191,1.0,1.0,0
gpt-4o:default,mmlupro,XC,20,20,100,0.38,0.32,0.06,0.05868560300448484,1.0,0.34,0
gpt-4o:default,mmlupro,XC,140,140,100,0.38,0.32,0.06,0.05868560300448484,1.0,0.29,0
gpt-4o:default,mmlupro,XC,700,700,100,0.35,0.32,0.02999999999999997,0.05799137866959191,1.0,0.0,0
gpt-4o:default,mmlupro,CB,10,28,100,0.43,0.32,0.10999999999999999,0.05948949487094339,1.0,1.0,0
gpt-4o:default,mmlupro,CB,50,148,100,0.38,0.32,0.06,0.05868560300448484,1.0,1.0,0
gpt-4o:default,mmlupro,CB,100,298,100,0.39,0.32,0.07,0.05888123640006212,1.0,1.0,0
gpt-4o:default,mmlupro,CB,500,1498,100,0.36,0.32,0.03999999999999998,0.058240879114244144,1.0,1.0,0
gpt-4o:default,mmlupro,CB,1000,2999,100,0.36,0.32,0.03999999999999998,0.058240879114244144,1.0,1.0,0
gpt-4o:default,mmlupro,CC,10,28,100,0.4,0.32,0.08000000000000002,0.0590592922409336,1.0,1.0,0
gpt-4o:default,mmlupro,CC,100,298,100,0.37,0.32,0.04999999999999999,0.05847221562417487,1.0,1.0,0
gpt-4o:default,mmlupro,RB,1,184,100,0.36,0.32,0.03999999999999998,0.058240879114244144,1.0,1.0,0
gpt-4o:default,mmlupro,RB,3,555,100,0.39,0.32,0.07,0.05888123640006212,1.0,1.0,0
gpt-4o:default,mmlupro,C,1,184,100,0.4,0.32,0.08000000000000002,0.0590592922409336,1.0,0.66,0
