model_eff,depth,arm,k,n,acc,compliant,acc_compliant,incomplete,reason_tok,out_tok,latency
gpt-6-astra:low,8,C,4,40,0.975,1.0,0.975,0.0,0.0,1372.0,15.047061920166016
gpt-6-astra:low,8,C,8,40,0.975,1.0,0.975,0.0,0.0,2736.0,28.552119612693787
gpt-6-astra:low,12,B,0,40,0.15,1.0,0.15,0.0,0.0,8.0,1.3122467994689941
gpt-6-astra:low,12,B,1,40,0.35,1.0,0.35,0.0,0.0,8.0,1.3169652223587036
gpt-6-astra:low,12,B,2,40,0.6,1.0,0.6,0.0,0.0,8.0,1.4020273685455322
gpt-6-astra:low,12,B,4,40,0.525,1.0,0.525,0.0,0.0,8.0,1.5762486457824707
gpt-6-astra:low,12,B,8,40,0.575,1.0,0.575,0.0,0.0,8.0,1.3861545324325562
gpt-6-astra:low,12,C,1,40,0.375,1.0,0.375,0.0,0.0,509.0,6.4134814739227295
gpt-6-astra:low,12,C,2,40,0.45,1.0,0.45,0.0,0.0,1010.0,11.354349732398987
gpt-6-astra:low,12,C,4,40,0.425,1.0,0.425,0.0,0.0,2012.0,21.363382935523987
gpt-6-astra:low,12,C,8,40,0.325,1.0,0.325,0.0,0.0,4016.0,41.544920325279236
