model_eff,depth,arm,k,n,acc,compliant,rt
deepseek/deepseek-chat-v3-0324:default,3,XC,340,40,0.025,0.225,0.0
deepseek/deepseek-chat-v3-0324:default,3,XC,700,40,0.075,0.05,0.0
gpt-4o:default,2,B,0,40,0.125,1.0,0.0
gpt-4o:default,2,XB,1,40,0.175,1.0,0.0
gpt-4o:default,2,XB,5,40,0.1,1.0,0.0
gpt-4o:default,2,XB,20,40,0.125,1.0,0.0
gpt-4o:default,2,XB,70,40,0.15,1.0,0.0
gpt-4o:default,2,XB,140,40,0.125,1.0,0.0
gpt-4o:default,2,XB,340,40,0.15,1.0,0.0
gpt-4o:default,2,XB,700,40,0.15,1.0,0.0
gpt-4o:default,2,XC,1,40,0.15,0.05,0.0
gpt-4o:default,2,XC,5,40,0.2,0.975,0.0
gpt-4o:default,2,XC,20,40,0.125,0.7,0.0
gpt-4o:default,2,XC,70,40,0.15,0.475,0.0
gpt-4o:default,2,XC,140,40,0.125,0.575,0.0
gpt-4o:default,2,XC,340,40,0.25,0.25,0.0
gpt-4o:default,2,XC,700,40,0.1,0.0,0.0
gpt-4o:default,3,B,0,40,0.2,1.0,0.0
gpt-4o:default,3,XB,1,40,0.025,1.0,0.0
gpt-4o:default,3,XB,5,40,0.1,1.0,0.0
gpt-4o:default,3,XB,20,40,0.1,1.0,0.0
gpt-4o:default,3,XB,70,40,0.125,1.0,0.0
gpt-4o:default,3,XB,140,40,0.175,1.0,0.0
gpt-4o:default,3,XB,340,40,0.075,1.0,0.0
gpt-4o:default,3,XB,700,40,0.2,1.0,0.0
gpt-4o:default,3,XC,1,40,0.025,0.05,0.0
gpt-4o:default,3,XC,5,40,0.2,0.875,0.0
gpt-4o:default,3,XC,20,40,0.05,0.075,0.0
gpt-4o:default,3,XC,70,40,0.15,0.025,0.0
gpt-4o:default,3,XC,140,40,0.1,0.075,0.0
gpt-4o:default,3,XC,340,40,0.05,0.0,0.0
gpt-4o:default,3,XC,700,40,0.15,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,B,0,40,0.1,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,1,37,0.08108108108108109,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,5,40,0.1,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,20,39,0.07692307692307693,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,70,40,0.1,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,140,39,0.10256410256410256,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,340,40,0.125,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XB,700,40,0.125,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,1,40,0.125,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,5,39,0.07692307692307693,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,20,40,0.05,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,70,39,0.02564102564102564,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,140,40,0.175,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,340,40,0.1,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,2,XC,700,38,0.05263157894736842,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,B,0,40,0.15,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,1,40,0.1,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,5,40,0.1,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,20,39,0.10256410256410256,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,70,40,0.075,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,140,39,0.07692307692307693,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,340,40,0.075,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XB,700,40,0.2,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,1,38,0.10526315789473684,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,5,40,0.175,1.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,20,40,0.1,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,70,40,0.125,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,140,39,0.1282051282051282,0.0,0.0
meta-llama/llama-3.3-70b-instruct:default,3,XC,340,40,0.125,0.0,0.0
