model_eff,depth,arm,k,n,acc,compliant,rt
gpt-5.6-sol:none,4,XC,2,40,0.075,1.0,0.0
gpt-5.6-sol:none,4,XC,5,40,0.05,1.0,0.0
gpt-5.6-sol:none,4,XC,10,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XC,20,40,0.1,1.0,0.0
gpt-5.6-sol:none,4,XC,40,40,0.2,1.0,0.0
gpt-5.6-sol:none,4,XC,70,40,0.1,1.0,0.0
gpt-5.6-sol:none,4,XC,140,40,0.025,1.0,0.0
gpt-5.6-sol:none,4,XC,180,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XC,360,40,0.125,1.0,0.0
gpt-5.6-sol:none,4,XC,720,40,0.1,1.0,0.0
gpt-5.6-sol:none,4,XC,1450,40,0.075,0.65,0.0
gpt-5.6-sol:none,6,B,0,40,0.15,1.0,0.0
gpt-5.6-sol:none,6,XB,1,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XB,2,40,0.15,1.0,0.0
gpt-5.6-sol:none,6,XB,5,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XB,10,40,0.1,1.0,0.0
gpt-5.6-sol:none,6,XB,20,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XB,40,40,0.15,1.0,0.0
gpt-5.6-sol:none,6,XB,70,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XB,140,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XB,260,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XB,520,40,0.25,1.0,0.0
gpt-5.6-sol:none,6,XB,1040,40,0.2,1.0,0.0
gpt-5.6-sol:none,6,XB,2090,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,1,40,0.1,1.0,0.0
gpt-5.6-sol:none,6,XC,2,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,5,40,0.125,1.0,0.0
gpt-5.6-sol:none,6,XC,10,40,0.225,1.0,0.0
gpt-5.6-sol:none,6,XC,20,40,0.25,1.0,0.0
gpt-5.6-sol:none,6,XC,40,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,70,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,140,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,260,40,0.15,1.0,0.0
gpt-5.6-sol:none,6,XC,520,40,0.175,1.0,0.0
gpt-5.6-sol:none,6,XC,1040,40,0.15,1.0,0.0
gpt-5.6-sol:none,6,XC,2090,40,0.2,0.05,0.0
gpt-5.6-sol:none,8,B,0,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XB,1,40,0.2,1.0,0.0
gpt-5.6-sol:none,8,XB,2,40,0.05,1.0,0.0
gpt-5.6-sol:none,8,XB,5,40,0.075,1.0,0.0
gpt-5.6-sol:none,8,XB,10,40,0.15,1.0,0.0
gpt-5.6-sol:none,8,XB,20,40,0.05,1.0,0.0
gpt-5.6-sol:none,8,XB,40,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XB,70,40,0.175,1.0,0.0
gpt-5.6-sol:none,8,XB,140,40,0.075,1.0,0.0
gpt-5.6-sol:none,8,XB,340,40,0.15,1.0,0.0
gpt-5.6-sol:none,8,XB,680,40,0.075,1.0,0.0
gpt-5.6-sol:none,8,XB,1360,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XB,2730,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XC,1,40,0.175,1.0,0.0
gpt-5.6-sol:none,8,XC,2,40,0.05,1.0,0.0
gpt-5.6-sol:none,8,XC,5,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XC,10,40,0.225,1.0,0.0
gpt-5.6-sol:none,8,XC,20,40,0.15,1.0,0.0
gpt-5.6-sol:none,8,XC,40,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XC,70,40,0.15,1.0,0.0
gpt-5.6-sol:none,8,XC,140,40,0.125,1.0,0.0
gpt-5.6-sol:none,8,XC,340,40,0.2,1.0,0.0
gpt-5.6-sol:none,8,XC,680,40,0.1,1.0,0.0
gpt-5.6-sol:none,8,XC,1360,40,0.075,0.65,0.0
gpt-5.6-sol:none,8,XC,2730,40,0.075,0.0,0.0
gpt-6-astra:low,3,B,0,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,1,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,2,40,0.975,1.0,0.0
gpt-6-astra:low,3,XB,5,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,10,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,20,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,40,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,70,40,1.0,1.0,0.0
gpt-6-astra:low,3,XB,140,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,1,40,0.975,1.0,0.0
gpt-6-astra:low,3,XC,2,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,5,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,10,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,20,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,40,40,1.0,1.0,0.0
gpt-6-astra:low,3,XC,70,40,1.0,1.0,0.0
